country,praise,count
United Kingdom,recommend,684
United Kingdom,great,658
United Kingdom,love,623
United Kingdom,lovely,520
United Kingdom,amazing,504
United Kingdom,excellent,441
United Kingdom,friendly,424
United Kingdom,delicious,374
United Kingdom,best,366
United Kingdom,beautiful,353
United Kingdom,attentive,321
United Kingdom,fantastic,296
United Kingdom,highly,283
United Kingdom,perfect,270
United Kingdom,wonderful,214
USA,great,296
USA,recommend,251
USA,excellent,206
USA,delicious,201
USA,amazing,198
USA,best,175
USA,love,160
USA,beautiful,158
USA,highly,141
USA,wonderful,126
USA,perfect,112
USA,friendly,109
USA,attentive,102
USA,lovely,90
USA,enjoyed,81
Australia,recommend,64
Australia,great,62
Australia,amazing,40
Australia,best,33
Australia,friendly,33
Australia,love,32
Australia,delicious,31
Australia,highly,30
Australia,attentive,28
Australia,lovely,25
Australia,beautiful,24
Australia,excellent,23
Australia,wonderful,22
Australia,fantastic,22
Australia,perfect,18
Ireland,recommend,62
Ireland,amazing,42
Ireland,delicious,39
Ireland,friendly,36
Ireland,great,35
Ireland,love,33
Ireland,highly,31
Ireland,lovely,29
Ireland,excellent,28
Ireland,beautiful,28
Ireland,best,25
Ireland,attentive,23
Ireland,fantastic,18
Ireland,perfect,13
Ireland,stunning,13
Canada,great,46
Canada,recommend,43
Canada,amazing,39
Canada,excellent,30
Canada,love,28
Canada,highly,25
Canada,best,24
Canada,beautiful,22
Canada,delicious,22
Canada,perfect,20
Canada,friendly,20
Canada,fantastic,17
Canada,attentive,17
Canada,wonderful,16
Canada,lovely,14
Croatia,recommend,42
Croatia,great,37
Croatia,amazing,34
Croatia,beautiful,30
Croatia,friendly,29
Croatia,perfect,28
Croatia,best,24
Croatia,excellent,19
Croatia,professional,16
Croatia,highly,15
Croatia,delicious,15
Croatia,love,11
Croatia,wonderful,10
Croatia,stunning,8
Croatia,enjoyed,6
France,great,21
France,recommend,17
France,delicious,15
France,excellent,14
France,friendly,14
France,perfect,12
France,amazing,9
France,professional,7
France,wonderful,6
France,beautiful,6
France,love,6
France,attentive,6
France,best,6
France,highly,4
France,incredible,4
The Netherlands,great,19
The Netherlands,recommend,15
The Netherlands,friendly,12
The Netherlands,amazing,11
The Netherlands,beautiful,8
The Netherlands,love,8
The Netherlands,highly,7
The Netherlands,excellent,7
The Netherlands,best,7
The Netherlands,wonderful,6
The Netherlands,lovely,6
The Netherlands,delicious,5
The Netherlands,attentive,5
The Netherlands,enjoyed,4
The Netherlands,stunning,3
Norway,recommend,16
Norway,great,16
Norway,amazing,11
Norway,best,10
Norway,love,10
Norway,beautiful,8
Norway,excellent,7
Norway,friendly,7
Norway,fantastic,7
Norway,lovely,7
Norway,perfect,5
Norway,wonderful,4
Norway,professional,4
Norway,highly,4
Norway,attentive,3
Germany,recommend,14
Germany,friendly,13
Germany,excellent,11
Germany,attentive,11
Germany,great,10
Germany,perfect,10
Germany,professional,9
Germany,fantastic,8
Germany,beautiful,8
Germany,amazing,8
Germany,wonderful,7
Germany,best,6
Germany,highly,5
Germany,outstanding,5
Germany,delicious,4
Finland,great,10
Finland,recommend,10
Finland,perfect,9
Finland,best,8
Finland,excellent,8
Finland,friendly,7
Finland,beautiful,7
Finland,delicious,5
Finland,amazing,4
Finland,love,3
Finland,professional,3
Finland,wonderful,3
Finland,highly,3
Finland,spectacular,2
Finland,fantastic,2
Spain,excellent,10
Spain,best,9
Spain,great,9
Spain,recommend,8
Spain,perfect,7
Spain,attentive,6
Spain,friendly,6
Spain,amazing,6
Spain,delicious,5
Spain,beautiful,5
Spain,love,5
Spain,wonderful,4
Spain,enjoyed,3
Spain,superb,3
Spain,fantastic,3
Sweden,amazing,12
Sweden,great,9
Sweden,best,9
Sweden,recommend,7
Sweden,friendly,6
Sweden,excellent,6
Sweden,beautiful,6
Sweden,fantastic,6
Sweden,outstanding,3
Sweden,perfect,3
Sweden,superb,3
Sweden,wonderful,3
Sweden,love,3
Sweden,delicious,2
Sweden,spectacular,2
Switzerland,great,15
Switzerland,recommend,12
Switzerland,excellent,9
Switzerland,friendly,9
Switzerland,delicious,9
Switzerland,professional,6
Switzerland,amazing,6
Switzerland,best,6
Switzerland,attentive,5
Switzerland,love,5
Switzerland,enjoyed,5
Switzerland,beautiful,4
Switzerland,outstanding,4
Switzerland,highly,4
Switzerland,perfect,4
Singapore,great,12
Singapore,best,10
Singapore,recommend,10
Singapore,excellent,7
Singapore,friendly,6
Singapore,highly,5
Singapore,love,5
Singapore,amazing,4
Singapore,wonderful,3
Singapore,delicious,3
Singapore,loved,3
Singapore,fantastic,3
Singapore,stunning,2
Singapore,lovely,2
Singapore,enjoyed,2
