statistic,value,context,wow_factor,use_in_presentation
Most reviews from single country,3401 (UK),29.6% of all reviews,UK guests are most loyal reviewers,Opening slide - market dominance
Highest positive sentiment,81.2% (Germany),Zero negative reviews,German guests most satisfied,Customer satisfaction section
Lowest negative sentiment,0.6% (Croatia),Local guests most proud,Croatian guests give highest praise,Local market strength
Most satisfied guests by rating,4.92 (Croatia at Panorama),Locals rate highest,Home country pride in quality,Quality validation
Perfect 5.0 ratings by country,Spain & Sweden (Nautika),Both gave perfect scores,Premium segment appeal,Restaurant positioning
View obsession,2563 mentions (UK),Three times more than USA,View is the killer feature for UK,Feature prioritization
Most view mentions per review,0.75 (UK),Almost every UK review mentions view,Must highlight in UK marketing,Marketing strategy
Experience vs Food,USA: 285 vs 958,Food mentioned 3.3x more,Americans want the full package,Menu vs ambiance balance
Staff vs Service uniqueness,Ireland only,Ireland values staff as people,Personal touch matters,Service training approach
Wait time sensitivity,50 complaints (UK),2.5x more than USA,UK guests are most impatient,Operations planning
Most balanced expectations,Australia,Food/Service/View equal priority,Hardest to satisfy overall,Quality benchmarking
Wine lovers,652 mentions (UK),2x more than USA,Wine list crucial for UK guests,Beverage program focus
Steak preference,237 mentions (UK),4x more than USA,UK loves steaks,Menu optimization
Fish preference,104 mentions (USA),Prefer fish over steak,Americans want fresh seafood,Seafood sourcing
Most loyal recommenders,803 recommends (UK),Almost 1 in 4 UK reviews,Word of mouth is golden,Referral program potential
Highest restaurant loyalty,Panorama (1185 UK reviews),35% of all UK reviews,Panorama = UK favorite,Restaurant branding
Best sentiment combo,Arsenal + Australia,0.835 sentiment score,Perfect match discovered,Target marketing
Premium segment winner,Nautika (Canada/Germany),0.847+ sentiment,Premium positioning works,Pricing strategy
Friendliness importance,698 mentions (UK),"Friendly" in 20% of reviews,Personality beats perfection,Staff recruitment focus
Dessert culture,171 desserts (UK),More than any other country,UK guests love desserts,Dessert menu expansion
